,Name,Channel_ID,Channel_Description,View_Count,Comment_Count,Subscriber_Count,Video_Counts,Banner_Image,Channel_Type,Country,Published_Date,Daily_Average_Earning,Daily_Average_Earning_High,Daily_Average_Earning_Low,Daily_Average_Earning_Mid
0,T-Series,UCq-Fj5jknLsUf-MWSy4_brA,"""Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music. T-Series is ...",62923002389.0,0,86998125,13153,"https://yt3.ggpht.com/SdjbnX1Wfr78hO2S-4hwG6jmZJbpGnKsI-cGNvJUeBROFH3-aT9D-Sv8pYyg-k7mqYPorvomow=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Music,IN,"Mar 13th, 2006",$23.9K - $383.1K per day,383100.0,23900.0,203500.0
1,WWE,UCJ5v_MCY6GNUBTO8-D3XoAg,"WWE on YouTube is your number one spot to catch WWE original shows and exclusives! Watch videos from all of your favorite WWE Superstars, backstage ...",30246226656.0,0,39954727,39820,"https://yt3.ggpht.com/IoJHw0dMVwBR4DWb6oelr-9ELAzcv8SOiyzgw2nkPCbRfJgoxtmIWDHT0uldzdL7O6OKe_HK=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Sports,US,"May 11th, 2007",$5K - $80.7K per day,80700.0,5000.0,42850.0
2,SET India,UCpEhnqL0y41EpW2TvWAHD7Q,Sony Entertainment Television is a 24 hour Hindi General Entertainment Channel that provides complete family entertainment. A dynamic channel that responds ...,29493459610.0,0,42508399,29184,"https://yt3.ggpht.com/G3QDs9kvZGZWGI8SjCLd7w69pwuUtzwCPSUnWHx67p5hLkZkq4zgbudsYMcs2HTtBJELV6fK-Q=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Entertainment,IN,"Sep 20th, 2006",$12.2K - $194.9K per day,194900.0,12200.0,103550.0
3,Ryan ToysReview,UChGJGhZ9SOOHvBB0Y4DOO_w,"Ryan loves Toys. Toys Review for kids by a kid! Join Ryan to see him play with toys and review toys for kids! He loves Cars, Trains, Thomas and friends, Lego, ...",27686524413.0,0,18385123,1303,"https://yt3.ggpht.com/2zPMtu7YfcaBMFzszCQZKuH5YSQk24UGMZG_ACKQvbXyuQ7Ag4-VVx-eY1T_pZDp9_SpdlhPQA=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Entertainment,US,"Mar 17th, 2015",$5.4K - $87.1K per day,87100.0,5400.0,46250.0
4,netd müzik,UCR5wZcXtOUka8jTA57flzMg,"netd müzik, anlaşmalı müzik yapım firmalarından sağladığı, Türkçe pop müzikten alternatif müziğe kadar çeşitli tarzlardaki müzik kliplerinin resmi yayın ...",27622717527.0,0,13110387,9545,"https://yt3.ggpht.com/xYFclz7MDzGdfDfuToWe4HA8tgED-d_PH9jV-Y2p1HGKmLB2plzzN0wLIhpybJ-CAiS_nkvRRMs=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Music,TR,"Jan 23rd, 2014",$5.2K - $83.5K per day,83500.0,5200.0,44350.0
5,Canal KondZilla,UCffDXn7ycAzwL2LDlbyWOTw,"Canal da KONDZILLA FILMES, a maior produtora de conteúdo audiovisual de música eletrônica de periferia do Brasil. Especializado em videoclipes com ...",23258379454.0,0,47052490,978,"https://yt3.ggpht.com/qLQRIHD6PX4n-ZvtGh9x7iUDPh68NS4rEhtlyJOt-yyOkaAM3F4g8cI_BnVcFTqLTcpf_0Pn=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Music,BR,"Mar 21st, 2012",$4.9K - $78.5K per day,78500.0,4900.0,41700.0
6,ABS-CBN Entertainment,UCstEtN0pgOmCf02EdXsGChw,Watch your favorite entertainment shows from the leading television network! Subscribe to ABS-CBN Entertainment channel!,21701207455.0,0,16181116,114330,"https://yt3.ggpht.com/gQfQQCwcI2H643wqE_og1I_2WSZ0K-a-5LUqK3SasXkwW1mEowKtN4vxZgscUfATzrruurqaJA=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Entertainment,PH,"Jul 16th, 2008",$6.6K - $105.9K per day,105900.0,6600.0,56250.0
7,Cocomelon - Nursery Rhymes,UCbCmjCuTUZos6Inko4u57UQ,"At Cocomelon (formerly “ABCkidTV”), our goal is to make learning a fun and enjoyable experience for kids by creating beautiful 3D animation, educational lyrics, ...",21031876537.0,0,38024114,402,"https://yt3.ggpht.com/qWXHGizWxh7CjntQ7zeoTB6iKPTYaWpezRs-6guscHcf4dEmS4yiNmS4HJLPVW-8Yy7dMJLo26Y=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Education,US,"Sep 1st, 2006",$21.6K - $346.1K per day,346100.0,21600.0,183850.0
8,Movieclips,UC3gNmTGu-TTbFPpfSs5kNkg,"The Fandango MOVIECLIPS channel is the largest collection of licensed movie clips on the web. We are HUGE movie fans. We love films so much, that our ...",20944787757.0,0,23065439,31780,"https://yt3.ggpht.com/UuXIQ_fC_epka2XIjzaYJmbc8yvS5B3o5CpczHIao_ZgSECUE0n5bd65Ges-vgNoanyVpjvflA=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Film,US,"Apr 28th, 2006",$6.1K - $98.2K per day,98200.0,6100.0,52150.0
9,PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,I make videos.,20555595375.0,0,87146524,3760,"https://yt3.ggpht.com/3Ss-aMQD695qaWBSWMy1mt6aNrIs5kIlL78Ccf_YGO4OHV1txzdWGy5J5bCUu7-T5MXJT3_W=w1060-fcrop64=1,00005a57ffffa5a8-nd-c0xffffffff-rj-k-no",Comedy,US,"Apr 29th, 2010",$2.9K - $46.4K per day,46400.0,2900.0,24650.0
